manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Jantzen Audio,060-0003,6,50,0.53,,2.31,13.3,5.04,,119,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0004,12,54,0.59,,2.08,12.8,10.03,,119,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0008,,,0.25,0.26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,060-0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,JA-8008,8,46,,,,44.3,6.07,,219,18,,,,11.1,3.5,,,,,,,,95,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jantzen Audio,JA5004,6,62,0.53,,2.34,5.5,,,85,12,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jbl Selenium,D220Ti-8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.062,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10LA-P-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10LC-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10LC-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10SA-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10SA-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10SA-P-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10SA-P-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10SC-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,10SC-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,12LA-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,12LC-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,12LC-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,12LC-P-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,8SA-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,8SA-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,8SA-P-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,8SA-P-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,8SC-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,8SC-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,M10C-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,M10C-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,M10C-P-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,M12A-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,M12C-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jupiter Speakers,M12C-P-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lcy,LCY-100K-MK2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lcy,LCY-K100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lpg,26na,8,,,,,,,,6.8,0.22,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,alpair-10-gold GEN 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,alpair-10-grey GEN 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,Alpair-10P-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,ALPAIR-11MS-GLD,,43.748,0.344,0.407,2.215,17.709,7.2,0.063087,111.22,12.005,11.331,1.008,,7.812,,,,,,,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,ALPAIR-11MS-GREY,,43.748,0.344,0.407,2.215,17.709,7.2,0.063087,111.22,12.005,11.331,1.008,,7.812,,,,,,,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,Alpair-5G,,104.5246,0.5473,0.6805,2.7967,1.168,3.4,,28,2.2159,2.1308,1.0463,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,ALPAIR-5V3-GOLD GEN.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,ALPAIR-5V3-GREY GEN.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,ALPAIR-7MS-GOLD,,74.724,0.565,0.744,2.35,4.968,7.2,0.124716,50.27,3.277,3.072,1.384,,3.859,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,ALPAIR-7MS-GREY,,74.724,0.565,0.744,2.35,4.968,7.2,0.124716,50.27,3.277,3.072,1.384,,3.859,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-110,8,44.2,0.4172,0.4884,2.86,24.7335,6.8,,109,8.77,8.1228,,,5.8206,8,,,,,,,,,,,,,,,,146.05,171.5,,,,,133,158.2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-110-Silver,,44.1601,0.4172,0.4884,2.86,24.7335,6.8,,109,8.77,8.1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-40,,97.4826,0.6429,0.7752,3.7689,1.1523,6.8,,23,1.6942,1.6322,1.5733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-40P MICA,,106.691,0.548,0.6781,2.8554,1.1688,6.8,,23,1.3944,1.3324,1.5959,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-50,,113.1594,0.5526,0.6865,2.8318,1.0965,3.4,,28,2.0871,2.002,0.9822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-50P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHN-70,,71.62,0.48,0.649,1.848,5.31,5,0.017917,50.27,3.339,3.134,1.479,,3.403,4,,,,,,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHP-70-BP GEN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,chp-70-p GEN2,,,0.52,0.67,2.3,4.7,7.2,0.03061,,3.7,3.49,0.00131,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHP-90,,48.53,0.3635,0.4354,2.2008,20.05,6.2,,85,5.5051,4.9619,1.9898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHR-120-Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHR-120-Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,chr-70-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,chr-70-gold-r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,chr-70-grey-r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHR-90-CHROME,,44.3,0.3598,0.4212,2.4647,26.1403,6.8,,85,4.9661,4.523,2.5942,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,CHR-90-GOLD,,44.3,0.3598,0.4212,2.4647,26.1403,6.8,,85,4.9661,4.523,2.5942,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MA200-M Copper,8,33,0.3455,0.4086,2.239,65.1957,6.8,0.2283,206,21.1652,19.4903,1.099,,,9,,,,,,,,,,,,,,,,203.2,223.5,,,97,,189,223.5,5.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MA200M-Copper,,33.0003,0.3455,0.4086,2.239,65.1957,6.8,,206,21.1652,19.4093,1.099,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MA200M-Grey,,33.0003,0.3455,0.4086,2.239,65.1957,6.8,,206,21.1652,19.4093,1.099,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MAOP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MAOP11,,39.6919,0.2942,0.3473,1.9226,24.4625,7.2,,111,11.3528,10.6889,1.4162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MAOP5 PAIR,4,110,0.4,0.6,1.6,1.6,,,,1.4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,MAOP7,,76.533,0.556,0.711,2.556,3.915,5.4,0.021551,50.265,3.963,3.758,1.091,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,PLUVIA ELEVEN GOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,PLUVIA ELEVEN GREY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,Pluvia-7-HD-Chrome,,72.5494,0.584,0.7173,3.1446,4.4227,5.4,,50,3.839,3.6373,1.2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,Pluvia-7-HD-Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,Pluvia-7-PHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,Pluvia-7P MICA,,72.2524,0.472,0.5483,3.3897,4.4592,3.3,,50,3.839,3.6373,1.2639,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markaudio,TW 6,4,1.7,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,74,,,9.3,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,AIRMT-130,8,3000,,,,,5.2,,,,,,,,,,,,,,,,98,60,60,,,,,,,,,,40,,,,,,,,,,,,,,,,,130,90,,71,111,,,,,,,,,,,,,,,,,,
Monacor,AIRMT-85,4,2500,,,,,3.8,,,,,,,,,,,,,,,,92,20,40,,,,,,,85,,,35,,66,,,,,,,,,,,,,,,85,36,,,,,,,,,,,,,,,,,,,,,
Monacor,AR-30,8,600,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,80,80,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,AR-50,8,500,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,90,90,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,BR-50,4,40,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,4,,,,,,,,,,,,131,131,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-100,8,1500,,,,,5.7,,,,,,,,,,,,,,,,92,30,30,,,,92,,25,,,,26,26,72,,,,,70,,25,,,,25,,,,116,80,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-105,8,1500,,,,,5.7,,,,,,,,,,,,,,,,90,30,,,,,90,,,100,,,,,85,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-107,8,1200,,,,,5.7,,,,,,,,,,,,,,,,89,80,,,,,89,,25,96,,,,23,72,,,,,60,,25,,,,25,,,,96.5,,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-109,8,1200,,,,,5.7,,,,,,,,,,,,,,,,90,40,,,,,90,,,100,,,,,85,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-19SU,8,,,,,,,,,,,,,,,,,,,,,,91,50,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-25N,8,1600,,,,,5.7,,,,,,,,,,,,,,,,95,40,40,,,95,,,25,66,,,21,,50,,,,,,,25,,,,20,25,,,66,21,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-28N,8,1200,,,,,,,,,,,,,,,,,,,,,94,50,,,,,,,28,,,,,,,,,,,36,,28,,,,,,,,55,55,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-300,8,750,,,,,5.7,,,,,,,,,,,,,,,,93,50,50,,,,93,,30,116,,,53,,,,,,,,,30,,,,30,,,,116,,,,,,,,,,,,,,,,,,,,,,
Monacor,DT-99,8,1500,,,,,5.7,,,,,,,,,,,,,,,,93,,40,,,,93,,25,100,,,35,,,,,,,70,,25,,,,25,,,,100,,,,,,,,,,,,,,,,,,,,,,
Monacor,DT140,4,1200,,,,,,,,,,,,,,,,,,,,,90,40,40,,,90,,,,,,,30,,80,,,,,,,25,,,,,,,,103,31,,,,,,,,,,,,,,,,,,,,,
Monacor,DT28,8,1200,,,,,,,,,,,,,,,,,,,,,94,,50,,,,,,,,,,20,,46,,,,,,,28,,,,,,,,55,55,,,,,,,,,,,,,,,,,,,,,
Monacor,DT284,4,1300,,,,,,,,,,,,,,,,,,,,,91,60,100,,,,,,28,,,,18,,50,,,,,,,28,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Monacor,DTM 104/4 - Hifi Dome Tweeter 4 OHM,4,1200,,,,,,,,,,,,,,,,,,,,,92,,45,,,,,,,,,,32,,80,,,,,,,25,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,
Monacor,DTM 104/8 - Textilkalotte 8 OHM,8,1200,,,,,,,,,,,,,,,,,,,,,92,,45,,,,,,,,,,32,,80,,,,,,,25,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,
Monacor,DTM-104/8,8,1200,,,,,,,,,,,,,,,,,,,,,92,45,,,,92,,,25,,,,,,80,,,,,,,25,,,,,,,,104,32,,,,,,,,,,,,,,,,,,,,,
Monacor,HT 88 PA Horn Tweeter,8,2500,,,,,,,,,,,,,,,,,,,,,99,,50,,,,,,,,,,75,,,,,,,,,25,,,,,,,,87,87,,67,67,,,,,,,,,,,,,,,,,,
Monacor,HT 958 PA/SW 8 OHM Ring-Radiator,8,2.2,,,,,,,,,,,,,,,,,,,,,101,,30,,,,,,,,,,45,,72,,,,,,,25.4,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,
Monacor,HT-22/8,8,,,,,,,,,,,,,,,,,,,,,,91,10,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,MHD-55,8,2000,,,,,,,,,,,,,,,,,,,,,103,30,,,,,,,80,,,,,187,,,,,,80,,25,,,,,,,,269,101,,,,,,,,,,,,,,,,,,,,,
Monacor,MRD-120,8,1300,,,,,,,,,,,,,,,,,,,,,100,50,,,,,,,25,120,,,85,,,,,,,120,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,MRD-160,8,750,,,,,,,,,,,,,,,,,,,,,100,60,,,,,,,25,115,,,53,,,,,,,110,,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,MSH-116/4,4,95,,0.48,2.38,2.7,,,55,4.6,,0.62,,4.3,1,,,,,,,,91,40,,,,,,,110,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,RBT-10,5,,,,,,,,,,,,,,,,,,,,,,90,12,,,,,90,,,100,,,,,,,,,,,,,,,,,,38,8,,,,,,,,,,,,,,,,,,,,,,,
Monacor,RBT-1000,6,1600,,,,,,,,,,,,,,,,,,,,,96,40,40,,,,,,,,,,34,,,,,,,,,,,,,,,,,104,104,,94,94,,,,,,,,,,,,,,,,,,
Monacor,RBT-35SR,7,,,,,,,,,,,,,,,,,,,,,,96,12,96,,,,,,,,,,103,,,,,,,,,,,,,,,60,9,110,,,87,62,,,,,,,,,,,,,,,,,,
Monacor,RBT-56,4,,,,,,3.5,,,,,,,,,,,,,,,,90,10,10,,,,,,,56.5,,,10,,48,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,
Monacor,RBT-95,8,4500,,,,,,,,,,,,,,,,,,,,,98,30,30,,,,,,95,95,,,17,,,,,,,,,,,,,,,,,95,,,80,45,,,,,,,,,,,,,,,,,,
Monacor,RBT-95SR,8,3500,,,,,,,,,,,,,,,,,,,,,98,40,40,,,,,,,,,,35,,,,,,,,,,,,,,,,,95,68,,82,47,,,,,,,,,,,,,,,,,,
Monacor,SP-10/4S,4,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-13/4,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-167E,4,62,,,,,,,,,,,,,2.5,,,,,,,,92,35,,,,,,,170,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-17/4,4,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-202E,4,51,,,,,,,,,,,,,2.5,,,,,,,,93,50,,,,,,,210,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-252E,4,42,,,,,,,,,,,,,4,,,,,,,,94,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-59/4S,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-6,8,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-6/4SQ,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-60/4,4,65,0.49,0.64,2.1,6,,0.2,55,4,,0.8,,2.9,2,,,,,,,,90,30,,,,,,,110,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-60/8,8,65,0.49,0.64,2.1,6,,0.2,55,4,,0.8,,2.9,2,,,,,,,,90,30,,,,,,,100,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-7/4SQ,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-7/4SQS,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-8/4SQ,4,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-8/4SQS,4,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP-90,8,45,0.57,0.68,3.36,42,6.5,0.5,210,17,,0.8,,,2,,,,,,,,92,35,35,,,,92,,210,205,,,90,,185,,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,
Monacor,SP8-4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SPH-130AL,8,48,,0.34,5.07,10.8,6.4,0.6,80,9,,1.2,,7.22,2.3,,,,,,,,88,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monacor,SPH-135/AD,8,39,0.37,0.42,3.4,26,6,0.47,95,7.8,,2.14,,5,,,,,,,,,89,,,,,,89,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
